LIMIT_BAL,EDUCATION,SEX_MAR,AgeBin,PAY_1,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,Closeness_1,Closeness_2,Closeness_3,Closeness_4,Closeness_5,Closeness_6,diff,default
20000,2,2,1,2,2,-1,-1,-2,-2,3913,3102,689,0,0,0,0,689,0,0,0,0,16087,16898,19311,20000,20000,20000,7015,1
120000,2,4,1,-1,2,-1,-1,-1,2,2682,1725,2682,3272,3455,3261,0,1000,1000,1000,0,2000,117318,118275,117318,116728,116545,116739,12077,1
90000,2,4,2,-1,-1,-1,-1,-1,-1,29239,14027,13559,14331,14948,15549,1518,1500,1000,1000,1000,5000,60761,75973,76441,75669,75052,74451,90635,0
50000,2,2,2,-1,-1,-1,-1,-1,-1,46990,48233,49291,28314,28959,29547,2000,2019,1200,1100,1069,1000,3010,1767,709,21686,21041,20453,222946,0
50000,2,1,4,-1,-1,-1,-1,-1,-1,8617,5670,35835,20940,19146,19131,2000,36681,10000,9000,689,679,41383,44330,14165,29060,30854,30869,50290,0
50000,1,2,2,-1,-1,-1,-1,-1,-1,64400,57069,57608,19394,19619,20024,2500,1815,657,1000,1000,800,-14400,-7069,-7608,30606,30381,29976,230342,0
500000,1,2,1,-1,-1,-1,-1,-1,-1,367965,412023,445007,542653,483003,473944,55000,40000,38000,20239,13750,13770,132035,87977,54993,-42653,16997,26056,2543836,0
100000,2,4,1,-1,-1,-1,-1,-1,-1,11876,380,601,221,-159,567,380,601,0,581,1687,1542,88124,99620,99399,99779,100159,99433,8695,0
140000,3,2,1,-1,-1,2,-1,-1,-1,11285,14096,12108,12211,11793,3719,3329,0,432,1000,1000,1000,128715,125904,127892,127789,128207,136281,58451,0
20000,3,2,2,-2,-2,-2,-2,-1,-1,0,0,0,0,13007,13912,0,0,0,13007,1122,0,20000,20000,20000,20000,6993,6088,12790,0
200000,3,4,2,-1,-1,2,-1,-1,-1,11073,9787,5535,2513,1828,3731,2306,12,50,300,3738,66,188927,190213,194465,197487,198172,196269,27995,0
260000,1,4,4,-1,-1,-1,-1,-1,2,12261,21670,9966,8517,22287,13668,21818,9966,8583,22301,0,3640,247739,238330,250034,251483,237713,246332,22061,0
630000,2,4,3,-1,-1,-1,-1,-1,-1,12137,6500,6500,6500,6500,2870,1000,6500,6500,6500,2870,0,617863,623500,623500,623500,623500,627130,17637,0
70000,2,2,2,1,2,2,-1,-1,2,65802,67369,65701,66782,36137,36894,3200,0,3000,3000,1500,0,4198,2631,4299,3218,33863,33106,327985,1
250000,1,2,1,-1,-1,-1,-1,-1,-1,70887,67060,63561,59696,56875,55512,3000,3000,3000,3000,3000,3000,179113,182940,186439,190304,193125,194488,355591,0
